Название,Жанр,Картинка,Ссылка,Рейтинг
М убийца,драма,https://www.kinonews.ru//insimgs/poster/poster35784_11_p.jpg,https://www.kinonews.ru//movie_166283/m,8.60
Лицо со шрамом,боевик,https://www.kinonews.ru//insimgs/poster/poster17108_4_prev.jpg,https://www.kinonews.ru//movie_2004/scarface,8.64
Двойная страховка,драма,https://www.kinonews.ru//insimgs/poster/poster33321_4_p.jpg,https://www.kinonews.ru//movie_68875/double-indemnity,8.25
Головокружение,мелодрама,https://www.kinonews.ru//insimgs/poster/poster28897_6_p.jpg,https://www.kinonews.ru//movie_34138/vertigo,8.26
Цельнометаллическая оболочка,боевик,https://www.kinonews.ru//insimgs/poster/poster28503_3_p.jpg,https://www.kinonews.ru//movie_35820/full-metal-jacket,8.63
Амели,драма,https://www.kinonews.ru//insimgs/2023/poster/poster117478_1_p.webp,https://www.kinonews.ru//movie_12164/le-fabuleux-destin-damelie-poulain,8.02
Схватка,боевик,https://www.kinonews.ru//insimgs/poster/poster3534_2_prev.jpg,https://www.kinonews.ru//movie_1616/heat,8.48
Вверх,детский,https://www.kinonews.ru//insimgs/poster/poster2065_3_prev.jpg,https://www.kinonews.ru//movie_8973/up,8.47
Заводной апельсин,драма,https://www.kinonews.ru//insimgs/poster/poster22786_2_p.jpg,https://www.kinonews.ru//movie_35822/a-clockwork-orange,8.44
Убить пересмешника,детектив,https://www.kinonews.ru//insimgs/poster/poster15433_4_prev.jpg,https://www.kinonews.ru//movie_3560/to-kill-a-mockingbird,8.75
Развод Надера и Симин,драма,https://www.kinonews.ru//insimgs/poster/poster15506_6_prev.jpg,https://www.kinonews.ru//movie_92490/a-separation,8.80
Афера,драма,https://www.kinonews.ru//insimgs/poster/poster11338_4_prev.jpg,https://www.kinonews.ru//movie_5589/the-sting,8.58
Индиана Джонс и последний крестовый поход,боевик,https://www.kinonews.ru//insimgs/poster/poster2624_1_prev.jpg,https://www.kinonews.ru//movie_71/indiana-jones-and-the-last-crusade,8.85
Крепкий орешек,боевик,https://www.kinonews.ru//insimgs/poster/poster3108_2_prev.jpg,https://www.kinonews.ru//movie_1093/die-hard,8.82
Звездочки на земле,драма,https://www.kinonews.ru//insimgs/2018/poster/poster82424_2_p.jpg,https://www.kinonews.ru//movie_136121/taare-zameen-par,8.83
Метрополис,драма,https://www.kinonews.ru//insimgs/poster/poster15852_2_prev.jpg,https://www.kinonews.ru//movie_48582/metropolis,8.38
Большой куш,криминал,https://www.kinonews.ru//insimgs/poster/poster23684_4_p.jpg,https://www.kinonews.ru//movie_2897/snatch,8.63
Секреты Лос-Анджелеса,детектив,https://www.kinonews.ru//insimgs/poster/poster7046_5_prev.jpg,https://www.kinonews.ru//movie_3035/la-confidential,8.52
1917,военный,https://www.kinonews.ru//insimgs/2019/poster/poster89526_1_p.jpg,https://www.kinonews.ru//movie_273028/1917,8.17
